"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/03/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/04/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/05/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/06/2022","AQS","350010023","1","0.6","ppm","7","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/07/2022","AQS","350010023","1","0.4","ppm","5","DEL NORTE HIGH SCHOOL","17","71.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/08/2022","AQS","350010023","1","0.7","ppm","8","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/09/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/10/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","18","75.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/11/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/12/2022","AQS","350010023","1","0.4","ppm","5","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/13/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/14/2022","AQS","350010023","1","0.4","ppm","5","DEL NORTE HIGH SCHOOL","17","71.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/15/2022","AQS","350010023","1","0.4","ppm","5","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/16/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/17/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/18/2022","AQS","350010023","1","0.6","ppm","7","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/19/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/20/2022","AQS","350010023","1","0.5","ppm","6","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/21/2022","AQS","350010023","1","0.3","ppm","3","DEL NORTE HIGH SCHOOL","24","100.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
"02/22/2022","AQS","350010023","1","0.2","ppm","2","DEL NORTE HIGH SCHOOL","10","42.0000","42101","Carbon monoxide","593","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.1343000008884","-106.5852"
